,name,File Path,File Type,File_size_in_MB,Length,Song Number,Artist,Album,Genre,Publisher,Bitrate,Comment,Composer,Year Published,Owner,Computer,Encoded By,Copyright,Device_id,Inode_id,Created Date,Modified Date,Last Access Date
20,Hey jack kerouac,"D:\music\10,000 Maniacs\In My Tribe\Hey Jack Kerouac.mp3",mp3,7.87213134765625,206.5,2,"10,000 Maniacs",In My Tribe,Alternative,Elektra,320,,Natalie Merchant/Robert Buck,1987,WehrsNet,NAS-1,none,,3935787269,1688849860281540,2023-05-04,2023-05-04,2023-05-04
21,Like the weather,"D:\music\10,000 Maniacs\In My Tribe\Like the Weather.mp3",mp3,9.040985107421875,237.2,3,"10,000 Maniacs",In My Tribe,Alternative,Elektra,320,,Natalie Merchant,1987,WehrsNet,NAS-1,none,,3935787269,1970324836992197,2023-05-04,2023-05-04,2023-05-04
22,My sister rose,"D:\music\10,000 Maniacs\In My Tribe\My Sister Rose.mp3",mp3,7.361379623413086,193.1,09,"10,000 Maniacs",In My Tribe,Alternative,Elektra,320,,Jerome Augustyniak/Natalie Merchant,1987,WehrsNet,NAS-1,none,,3935787269,1688849860281542,2023-05-04,2023-05-04,2023-05-04
23,Peace train,"D:\music\10,000 Maniacs\In My Tribe\Peace Train.mp3",mp3,7.892997741699219,207.1,07,"10,000 Maniacs",In My Tribe,Alternative,Elektra,320,,Cat Stevens,1987,WehrsNet,NAS-1,none,,3935787269,1688849860281543,2023-05-04,2023-05-04,2023-05-04
24,The painted desert,"D:\music\10,000 Maniacs\In My Tribe\The Painted Desert.mp3",mp3,8.364988327026367,219.5,5,"10,000 Maniacs",In My Tribe,Alternative,Elektra,320,,Jerome Augustyniak/Natalie Merchant,1987,WehrsNet,NAS-1,none,,3935787269,1688849860281544,2023-05-04,2023-05-04,2023-05-04
25,Verdi cries,"D:\music\10,000 Maniacs\In My Tribe\Verdi Cries.mp3",mp3,9.969905853271484,261.6,12,"10,000 Maniacs",In My Tribe,Alternative,Elektra,320,,Natalie Merchant,1987,WehrsNet,NAS-1,none,,3935787269,1688849860281545,2023-05-04,2023-05-04,2023-05-04
26,W7sfc2~q,"D:\music\10,000 Maniacs\In My Tribe\W7SFC2~Q.MP3",mp3,11.108957290649414,291.5,1,"10,000 Maniacs",In My Tribe,Alternative,Elektra,320,,Natalie Merchant/Robert Buck,1987,WehrsNet,NAS-1,none,,3935787269,1688849860281546,2023-05-04,2023-05-04,2023-05-04
27,A room for everything,"D:\music\10,000 Maniacs\Love Among The Ruins\A Room For Everything.mp3",mp3,3.6389808654785156,236.1,06,"10,000 Maniacs",Love Among The Ruins,Pop,Geffen,128,,"10,000 Maniacs",1997,WehrsNet,NAS-1,none,,3935787269,1688849860281548,2023-05-04,2023-05-04,2023-05-04
28,Across the fields,"D:\music\10,000 Maniacs\Love Among The Ruins\Across The Fields.mp3",mp3,3.5919418334960938,233.0,12,"10,000 Maniacs",Love Among The Ruins,Pop,Geffen,128,,"10,000 Maniacs",1997,WehrsNet,NAS-1,none,,3935787269,1688849860281549,2023-05-04,2023-05-04,2023-05-04
29,All that never happens,"D:\music\10,000 Maniacs\Love Among The Ruins\All That Never Happens.mp3",mp3,4.590038299560547,298.6,10,"10,000 Maniacs",Love Among The Ruins,Pop,Geffen,128,,"10,000 Maniacs",1997,WehrsNet,NAS-1,none,,3935787269,1688849860281550,2023-05-04,2023-05-04,2023-05-04
30,Big star,"D:\music\10,000 Maniacs\Love Among The Ruins\Big Star.mp3",mp3,2.8868408203125,187.0,08,"10,000 Maniacs",Love Among The Ruins,Pop,Geffen,128,,"10,000 Maniacs/Bryan Ferry",1997,WehrsNet,NAS-1,none,,3935787269,1688849860281551,2023-05-04,2023-05-04,2023-05-04
31,Even with my eyes closed,"D:\music\10,000 Maniacs\Love Among The Ruins\Even With My Eyes Closed.mp3",mp3,3.6348876953125,236.1,03,"10,000 Maniacs",Love Among The Ruins,Pop,Geffen,128,,"10,000 Maniacs",1997,WehrsNet,NAS-1,none,,3935787269,1688849860281552,2023-05-04,2023-05-04,2023-05-04
32,Girl on a train,"D:\music\10,000 Maniacs\Love Among The Ruins\Girl On A Train.mp3",mp3,3.8594970703125,250.8,04,"10,000 Maniacs",Love Among The Ruins,Pop,Geffen,128,,"10,000 Maniacs",1997,WehrsNet,NAS-1,none,,3935787269,1688849860281553,2023-05-04,2023-05-04,2023-05-04
33,Green children,"D:\music\10,000 Maniacs\Love Among The Ruins\Green Children.mp3",mp3,3.9084253311157227,253.8,05,"10,000 Maniacs",Love Among The Ruins,Pop,Geffen,128,,"10,000 Maniacs",1997,WehrsNet,NAS-1,none,,3935787269,1688849860281554,2023-05-04,2023-05-04,2023-05-04
34,Love among the ruins,"D:\music\10,000 Maniacs\Love Among The Ruins\Love Among The Ruins.mp3",mp3,3.717116355895996,241.2,02,"10,000 Maniacs",Love Among The Ruins,Pop,Geffen,128,,"10,000 Maniacs/Jules Shear",1997,WehrsNet,NAS-1,none,,3935787269,1688849860281555,2023-05-04,2023-05-04,2023-05-04
35,More than this,"D:\music\10,000 Maniacs\Love Among The Ruins\More Than This.mp3",mp3,3.7794189453125,245.6,07,"10,000 Maniacs",Love Among The Ruins,Pop,Geffen,128,,Bryan Ferry,1997,WehrsNet,NAS-1,none,,3935787269,1688849860281556,2023-05-04,2023-05-04,2023-05-04
36,Rainy day,"D:\music\10,000 Maniacs\Love Among The Ruins\Rainy Day.mp3",mp3,4.3966064453125,286.0,01,"10,000 Maniacs",Love Among The Ruins,Pop,Geffen,128,,"10,000 Maniacs",1997,WehrsNet,NAS-1,none,,3935787269,1688849860281557,2023-05-04,2023-05-04,2023-05-04
37,Shining light,"D:\music\10,000 Maniacs\Love Among The Ruins\Shining Light.mp3",mp3,3.7872314453125,246.0,11,"10,000 Maniacs",Love Among The Ruins,Pop,Geffen,128,,"10,000 Maniacs/Jules Shear",1997,WehrsNet,NAS-1,none,,3935787269,1688849860281558,2023-05-04,2023-05-04,2023-05-04
38,You won't find me there,"D:\music\10,000 Maniacs\Love Among The Ruins\You Won't Find Me There.mp3",mp3,3.8282470703125,248.7,09,"10,000 Maniacs",Love Among The Ruins,Pop,Geffen,128,,"10,000 Maniacs/Jules Shear",1997,WehrsNet,NAS-1,none,,3935787269,1688849860281559,2023-05-04,2023-05-04,2023-05-04
39,Because the night,"D:\music\10,000 Maniacs\MTV Unplugged\Because the Night.mp3",mp3,8.524852752685547,223.7,12,"10,000 Maniacs",MTV Unplugged,Alternative,Elektra,320,,Bruce Springsteen/Patti Smith,1993,WehrsNet,NAS-1,none,,3935787269,1688849860281561,2023-05-04,2023-05-04,2023-05-04
40,Candy everybody wants,"D:\music\10,000 Maniacs\MTV Unplugged\Candy Everybody Wants.mp3",mp3,7.617832183837891,199.9,03,"10,000 Maniacs",MTV Unplugged,Alternative,Elektra,320,,Dennis Drew/Natalie Merchant,1993,WehrsNet,NAS-1,none,,3935787269,1688849860281562,2023-05-04,2023-05-04,2023-05-04
41,Gold rush brides,"D:\music\10,000 Maniacs\MTV Unplugged\Gold Rush Brides.mp3",mp3,9.605112075805664,252.0,08,"10,000 Maniacs",MTV Unplugged,Alternative,Elektra,320,,Natalie Merchant/Robert Buck,1993,WehrsNet,NAS-1,none,,3935787269,1688849860281565,2023-05-04,2023-05-04,2023-05-04
42,I'm not the man,"D:\music\10,000 Maniacs\MTV Unplugged\I'm Not the Man.mp3",mp3,8.638324737548828,226.6,04,"10,000 Maniacs",MTV Unplugged,Alternative,Elektra,320,,Natalie Merchant,1993,WehrsNet,NAS-1,none,,3935787269,1688849860281567,2023-05-04,2023-05-04,2023-05-04
43,Jezebel,"D:\music\10,000 Maniacs\MTV Unplugged\Jezebel.mp3",mp3,10.069040298461914,264.2,11,"10,000 Maniacs",MTV Unplugged,Alternative,Elektra,320,,Natalie Merchant,1993,WehrsNet,NAS-1,none,,3935787269,1688849860281568,2023-05-04,2023-05-04,2023-05-04
44,Noah's dove,"D:\music\10,000 Maniacs\MTV Unplugged\Noah's Dove.mp3",mp3,11.73375129699707,307.9,14,"10,000 Maniacs",MTV Unplugged,Alternative,Elektra,320,,Natalie Merchant,1993,WehrsNet,NAS-1,none,,3935787269,1688849860281570,2023-05-04,2023-05-04,2023-05-04
